Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
510055,CABELL-HUNTINGTON HOSPITAL INC,1340 HAL GREER BOULEVARD,,,HUNTINGTON,WV,25701.00,CABELL,3045262000.00,15.50,No Different than U.S. National Rate,11.60,20.60,46.00,,11.40,No Different than U.S. National Rate,8.40,15.20,166.00,,14.40,No Different than U.S. National Rate,11.20,18.10,231.00,,19.80,No Different than U.S. National Rate,15.50,24.70,34.00,,27.30,No Different than U.S. National Rate,23.10,31.70,221.00,,17.40,No Different than U.S. National Rate,14.30,20.80,244.00,
510058,CAMDEN CLARK MEDICAL CENTER,800 GARFIELD AVE,,,PARKERSBURG,WV,26101.00,WOOD,3044242111.00,15.30,No Different than U.S. National Rate,12.70,17.90,333.00,,11.50,No Different than U.S. National Rate,9.50,13.90,529.00,,11.10,No Different than U.S. National Rate,9.40,13.20,718.00,,19.00,No Different than U.S. National Rate,16.10,22.10,270.00,,28.70,Worse than U.S. National Rate,25.60,31.70,634.00,,18.20,No Different than U.S. National Rate,16.00,20.80,733.00,
510059,CHARLESTON SURGICAL HOSPITAL,1306 KANAWHA BL E,,,CHARLESTON,WV,25301.00,KANAWHA,3043434371.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
51005F,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,,,MARTINSBURG                   ,WV,25401.00,HUMBOLDT,3042630811.00,15.80,No Different than U.S. National Rate,11.60,21.40,30.00,,10.50,No Different than U.S. National Rate,7.60,14.10,139.00,,9.10,No Different than U.S. National Rate,6.90,12.10,260.00,,19.90,No Different than U.S. National Rate,15.60,25.00,25.00,,25.40,No Different than U.S. National Rate,21.40,29.80,168.00,,18.20,No Different than U.S. National Rate,15.20,21.60,288.00,
510062,BECKLEY ARH HOSPITAL,306 STANAFORD ROAD,,,BECKLEY,WV,25801.00,RALEIGH,3042553456.00,17.20,No Different than U.S. National Rate,13.20,22.00,46.00,,12.10,No Different than U.S. National Rate,9.30,15.70,175.00,,12.40,No Different than U.S. National Rate,9.30,16.30,151.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.90,No Different than U.S. National Rate,23.10,30.90,196.00,,21.10,No Different than U.S. National Rate,17.50,25.00,168.00,
510070,RALEIGH GENERAL HOSPITAL,1710 HARPER ROAD,,,BECKLEY,WV,25801.00,RALEIGH,3042564100.00,15.50,No Different than U.S. National Rate,12.50,19.20,198.00,,12.10,No Different than U.S. National Rate,9.70,14.90,377.00,,11.60,No Different than U.S. National Rate,9.30,14.50,379.00,,24.30,Worse than U.S. National Rate,20.30,28.70,167.00,,25.20,No Different than U.S. National Rate,22.20,28.30,448.00,,22.90,Worse than U.S. National Rate,19.40,26.10,380.00,
510071,BLUEFIELD REGIONAL MEDICAL CENTER,500 CHERRY ST,,,BLUEFIELD,WV,24701.00,MERCER,3043271100.00,15.60,No Different than U.S. National Rate,12.30,19.30,103.00,,10.80,No Different than U.S. National Rate,8.20,14.10,229.00,,11.00,No Different than U.S. National Rate,8.30,14.50,237.00,,19.20,No Different than U.S. National Rate,15.70,23.30,59.00,,27.40,No Different than U.S. National Rate,23.60,31.30,279.00,,19.80,No Different than U.S. National Rate,16.50,23.20,241.00,
510072,WETZEL COUNTY HOSPITAL,#3 EAST BENJAMIN DRIVE,,,NEW MARTINSVILLE,WV,26155.00,WETZEL,3044558000.00,16.70,No Different than U.S. National Rate,12.60,21.40,44.00,,11.80,No Different than U.S. National Rate,8.50,15.80,81.00,,11.70,No Different than U.S. National Rate,8.70,15.70,153.00,,19.70,No Different than U.S. National Rate,15.60,24.80,33.00,,26.60,No Different than U.S. National Rate,21.90,31.70,95.00,,17.70,No Different than U.S. National Rate,14.30,21.90,148.00,
510077,WILLIAMSON MEMORIAL HOSPITAL,859 ALDERSON STREET,,,WILLIAMSON,WV,25661.00,MINGO,3042352500.00,15.80,No Different than U.S. National Rate,11.20,21.50,31.00,,12.30,No Different than U.S. National Rate,8.80,17.00,97.00,,14.50,No Different than U.S. National Rate,10.10,20.20,89.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,10.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.10,No Different than U.S. National Rate,21.10,29.60,134.00,,20.70,No Different than U.S. National Rate,16.60,25.20,87.00,
510082,SUMMERSVILLE REGIONAL MEDICAL CENTER,400 FAIRVIEW HEIGHTS ROAD,,,SUMMERSVILLE,WV,26651.00,NICHOLAS,3048722891.00,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.60,No Different than U.S. National Rate,8.30,15.90,73.00,,12.30,No Different than U.S. National Rate,9.30,16.00,163.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.30,No Different than U.S. National Rate,18.20,27.00,77.00,,17.30,No Different than U.S. National Rate,14.00,21.40,158.00,
510085,CAMC TEAYS VALLEY HOSPITAL,1400 HOSPITAL DRIVE,,,HURRICANE,WV,25526.00,PUTNAM,3047571700.00,15.10,No Different than U.S. National Rate,11.50,19.80,27.00,,12.40,No Different than U.S. National Rate,9.20,16.60,104.00,,10.90,No Different than U.S. National Rate,7.80,15.00,131.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.30,No Different than U.S. National Rate,20.30,28.90,119.00,,17.40,No Different than U.S. National Rate,14.10,21.30,143.00,
510086,WELCH COMMUNITY HOSPITAL,454 MCDOWELL STREET,,,WELCH,WV,24801.00,MCDOWELL,3044368461.00,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,15.40,No Different than U.S. National Rate,11.10,21.10,64.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.60,No Different than U.S. National Rate,14.60,23.30,61.00,
511300,"BROADDUS HOSPITAL ASSOCIATION, INC",MANSFIELD HILL P O BOX 930,,,PHILIPPI,WV,26416.00,BARBOUR,3044571760.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.00,No Different than U.S. National Rate,7.60,15.60,37.00,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.90,No Different than U.S. National Rate,14.90,24.00,38.00,
511301,WEBSTER COUNTY MEMORIAL HOSPITAL,P O BOX 312 (MILLER MOUNTAIN DRIVE),,,WEBSTER SPRINGS,WV,26288.00,WEBSTER,3048475682.00,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,16.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,7.90,16.40,50.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,18.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.30,No Different than U.S. National Rate,14.50,22.80,76.00,
511303,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,,,GRANTSVILLE,WV,26147.00,CALHOUN,3043549244.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
511304,SISTERSVILLE GENERAL HOSPITAL,314 SOUTH WELLS STREET,,,SISTERSVILLE,WV,26175.00,TYLER,3046522611.00,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.30,No Different than U.S. National Rate,8.80,19.10,31.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.60,No Different than U.S. National Rate,20.00,30.20,26.00,,18.40,No Different than U.S. National Rate,14.40,23.30,34.00,
511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,,,SPENCER,WV,25276.00,ROANE,3049274444.00,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,15.60,No Different than U.S. National Rate,11.20,21.00,70.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,17.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,20.40,No Different than U.S. National Rate,16.30,25.30,71.00,
511307,GRAFTON CITY HOSPITAL,500 MARKET STREET,,,GRAFTON,WV,26354.00,TAYLOR,3042650400.00,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.30,No Different than U.S. National Rate,8.60,17.10,28.00,,12.50,No Different than U.S. National Rate,8.80,17.40,76.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,4.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.30,No Different than U.S. National Rate,22.10,32.80,35.00,,18.60,No Different than U.S. National Rate,14.70,23.20,80.00,
511308,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,,,GASSAWAY,WV,26624.00,BRAXTON,3043645156.00,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.00,No Different than U.S. National Rate,7.70,15.40,35.00,,12.90,No Different than U.S. National Rate,9.10,17.70,69.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.10,No Different than U.S. National Rate,18.60,28.20,40.00,,16.70,No Different than U.S. National Rate,13.10,21.20,83.00,
511309,WAR MEMORIAL HOSPITAL INC,1 HEALTHY WAY,,,BERKELEY SPRINGS,WV,25411.00,MORGAN,3042581234.00,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.90,No Different than U.S. National Rate,9.20,17.70,43.00,,11.00,No Different than U.S. National Rate,7.60,15.80,73.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.40,No Different than U.S. National Rate,20.60,30.80,49.00,,18.10,No Different than U.S. National Rate,14.40,22.70,82.00,
511310,SUMMERS COUNTY ARH HOSPITAL,TERRACE STREET   P O BOX 940,,,HINTON,WV,25951.00,SUMMERS,3044661000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,19.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,8.10,16.10,63.00,,11.70,No Different than U.S. National Rate,8.40,16.30,71.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,13.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.00,No Different than U.S. National Rate,18.90,28.00,68.00,,18.50,No Different than U.S. National Rate,14.70,22.90,74.00,
511311,HAMPSHIRE MEMORIAL HOSPITAL,363 SUNRISE BOULEVARD,,,ROMNEY,WV,26757.00,HAMPSHIRE,3048224561.00,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.90,No Different than U.S. National Rate,7.40,15.90,27.00,,12.30,No Different than U.S. National Rate,8.20,17.90,27.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.10,No Different than U.S. National Rate,20.40,30.60,27.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,23.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
511312,PRESTON MEMORIAL HOSPITAL,300 S PRICE STREET,,,KINGWOOD,WV,26537.00,PRESTON,3043291400.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.50,No Different than U.S. National Rate,8.80,17.50,49.00,,13.20,No Different than U.S. National Rate,9.30,18.60,70.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,7.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.80,No Different than U.S. National Rate,20.20,30.00,58.00,,18.50,No Different than U.S. National Rate,14.70,23.10,76.00,
511313,BOONE MEMORIAL HOSPITAL,701 MADISON AVENUE,,,MADISON,WV,25130.00,BOONE,3043691230.00,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.30,No Different than U.S. National Rate,7.90,15.90,35.00,,9.80,No Different than U.S. National Rate,6.80,13.90,86.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.90,No Different than U.S. National Rate,19.30,29.10,42.00,,18.80,No Different than U.S. National Rate,15.10,23.20,105.00,
511314,POCAHONTAS MEMORIAL HOSPITAL,RR BOX 52 WEST,,,BUCKEYE,WV,24924.00,POCAHONTAS,3047997400.00,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure
511315,POTOMAC VALLEY HOSPITAL,100 PIN OAK LANE,,,KEYSER,WV,26726.00,MINERAL,3045973500.00,15.30,No Different than U.S. National Rate,11.60,19.50,25.00,,10.70,No Different than U.S. National Rate,7.50,15.00,66.00,,12.20,No Different than U.S. National Rate,8.60,16.90,79.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.30,No Different than U.S. National Rate,19.20,28.30,76.00,,16.30,No Different than U.S. National Rate,12.80,20.60,77.00,
511316,GRANT MEMORIAL HOSPITAL,P O BOX 1019,,,PETERSBURG,WV,26847.00,GRANT,3042571026.00,Not Available,Number of Cases Too Small,Not Available,Not Available,24.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.80,No Different than U.S. National Rate,9.50,16.90,114.00,,15.50,No Different than U.S. National Rate,11.50,20.60,86.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.00,No Different than U.S. National Rate,19.10,27.30,138.00,,21.30,No Different than U.S. National Rate,16.90,26.20,84.00,
511317,PLATEAU MEDICAL CENTER,430 MAIN STREET,,,OAK HILL,WV,25901.00,FAYETTE,3044698600.00,15.60,No Different than U.S. National Rate,12.40,19.50,26.00,,10.10,No Different than U.S. National Rate,7.60,13.50,127.00,,16.20,Worse than U.S. National Rate,12.10,21.00,113.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,15.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.60,No Different than U.S. National Rate,22.50,31.00,155.00,,19.30,No Different than U.S. National Rate,15.50,23.60,108.00,
511318,"MONTGOMERY GENERAL HOSPITAL, INC","401 SIXTH AVENUE, FAYETTE COUNTY",,,MONTGOMERY,WV,25136.00,FAYETTE,3044425151.00,Not Available,Number of Cases Too Small,Not Available,Not Available,24.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.70,No Different than U.S. National Rate,8.20,16.00,51.00,,11.60,No Different than U.S. National Rate,8.40,15.30,130.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,19.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.20,No Different than U.S. National Rate,20.80,30.20,64.00,,19.70,No Different than U.S. National Rate,16.00,23.50,151.00,
511319,JEFFERSON MEMORIAL HOSPITAL,300 SOUTH PRESTON STREET,,,RANSON,WV,25438.00,JEFFERSON,3047281600.00,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.70,No Different than U.S. National Rate,9.70,18.20,66.00,,14.00,No Different than U.S. National Rate,10.20,18.70,105.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.70,No Different than U.S. National Rate,20.20,29.80,75.00,,17.00,No Different than U.S. National Rate,13.40,21.40,111.00,
520002,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,900 ILLINOIS AVE,,,STEVENS POINT,WI,54481.00,PORTAGE,7153465000.00,17.90,No Different than U.S. National Rate,14.00,22.40,35.00,,11.00,No Different than U.S. National Rate,8.30,14.60,166.00,,11.90,No Different than U.S. National Rate,9.30,15.10,238.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,23.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.60,No Different than U.S. National Rate,21.50,29.90,184.00,,17.10,No Different than U.S. National Rate,14.20,20.50,265.00,
520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,,,LA CROSSE,WI,54601.00,LA CROSSE,6087850940.00,16.20,No Different than U.S. National Rate,12.90,20.30,138.00,,13.60,No Different than U.S. National Rate,10.60,17.10,222.00,,12.30,No Different than U.S. National Rate,9.60,15.80,267.00,,19.00,No Different than U.S. National Rate,15.20,23.50,118.00,,21.60,No Different than U.S. National Rate,18.30,25.80,241.00,,19.20,No Different than U.S. National Rate,15.90,23.10,281.00,
520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,,,WAUKESHA,WI,53188.00,WAUKESHA,2629281000.00,16.40,No Different than U.S. National Rate,13.40,20.00,268.00,,9.30,Better than U.S. National Rate,7.80,11.20,736.00,,10.10,No Different than U.S. National Rate,8.20,12.20,600.00,,19.00,No Different than U.S. National Rate,16.00,22.60,262.00,,24.80,No Different than U.S. National Rate,22.30,27.50,867.00,,18.60,No Different than U.S. National Rate,16.10,21.30,602.00,
520009,ST ELIZABETH HSPTL,1506 S ONEIDA ST,,,APPLETON,WI,54915.00,OUTAGAMIE,9207382000.00,18.60,No Different than U.S. National Rate,14.70,23.40,90.00,,12.30,No Different than U.S. National Rate,9.30,16.20,125.00,,13.00,No Different than U.S. National Rate,9.80,17.10,145.00,,18.20,No Different than U.S. National Rate,14.60,22.70,89.00,,21.40,No Different than U.S. National Rate,17.60,25.90,141.00,,19.20,No Different than U.S. National Rate,15.70,23.40,155.00,
520011,LAKEVIEW MED CENTER,1700 WEST STOUT STREET,,,RICE LAKE,WI,54868.00,BARRON,7152341515.00,Not Available,Number of Cases Too Small,Not Available,Not Available,24.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,8.40,15.30,120.00,,11.40,No Different than U.S. National Rate,8.50,15.30,131.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,14.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.80,No Different than U.S. National Rate,17.90,26.30,133.00,,16.80,No Different than U.S. National Rate,13.60,20.80,143.00,
520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,,,EAU CLAIRE,WI,54701.00,EAU CLAIRE,7157174131.00,14.50,No Different than U.S. National Rate,11.60,18.00,192.00,,13.20,No Different than U.S. National Rate,10.20,16.80,218.00,,11.00,No Different than U.S. National Rate,8.60,14.00,267.00,,18.80,No Different than U.S. National Rate,15.50,22.70,188.00,,24.50,No Different than U.S. National Rate,20.90,28.50,248.00,,18.20,No Different than U.S. National Rate,15.10,21.70,282.00,
520017,ST JOSEPHS HSPTL,2661 CTY HWY I,,,CHIPPEWA FALLS,WI,54729.00,CHIPPEWA,7157177200.00,Not Available,Number of Cases Too Small,Not Available,Not Available,19.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.80,No Different than U.S. National Rate,8.50,16.00,75.00,,11.80,No Different than U.S. National Rate,8.50,15.70,124.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,13.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.90,No Different than U.S. National Rate,20.40,30.00,84.00,,17.70,No Different than U.S. National Rate,14.10,22.00,138.00,
520019,MINISTRY ST MARYS HOSPITAL,2251 NORTH SHORE DR,,,RHINELANDER,WI,54501.00,ONEIDA,7153612000.00,15.80,No Different than U.S. National Rate,12.10,20.40,33.00,,12.40,No Different than U.S. National Rate,9.30,16.40,149.00,,12.50,No Different than U.S. National Rate,9.40,16.20,171.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,23.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.10,No Different than U.S. National Rate,19.30,27.60,187.00,,16.80,No Different than U.S. National Rate,13.60,20.80,171.00,
520021,UNITED HSPTL SYS,6308 EIGHTH AVE,,,KENOSHA,WI,53143.00,KENOSHA,2626562368.00,16.50,No Different than U.S. National Rate,13.00,20.80,149.00,,11.80,No Different than U.S. National Rate,9.40,14.50,500.00,,13.40,No Different than U.S. National Rate,10.90,16.50,411.00,,17.90,No Different than U.S. National Rate,14.40,22.00,142.00,,25.90,No Different than U.S. National Rate,22.60,29.20,577.00,,19.50,No Different than U.S. National Rate,16.40,22.80,409.00,
520027,"COLUMBIA ST MARY'S HOSPITAL OZAUKEE, INC",13111 N PORT WASHINGTON RD,,,MEQUON,WI,53097.00,OZAUKEE,2622437300.00,17.20,No Different than U.S. National Rate,14.20,20.60,243.00,,14.40,Worse than U.S. National Rate,11.80,17.50,402.00,,12.60,No Different than U.S. National Rate,10.00,15.60,344.00,,17.40,No Different than U.S. National Rate,14.30,21.10,245.00,,21.00,Better than U.S. National Rate,17.90,24.40,439.00,,17.70,No Different than U.S. National Rate,14.80,21.00,361.00,
520028,THE MONROE CLINIC,2005 5TH STREET,,,MONROE,WI,53566.00,GREEN,6083241000.00,16.60,No Different than U.S. National Rate,12.80,21.00,47.00,,11.30,No Different than U.S. National Rate,8.70,14.60,166.00,,10.50,No Different than U.S. National Rate,8.10,13.40,311.00,,18.60,No Different than U.S. National Rate,14.50,23.10,35.00,,22.80,No Different than U.S. National Rate,19.20,27.10,180.00,,17.40,No Different than U.S. National Rate,14.60,20.80,329.00,
52002F,TOMAH VA MEDICAL CENTER,500 EAST VETERANS STREET,,,TOMAH                         ,WI,54660.00,MONROE,6083723971.00,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.30,No Different than U.S. National Rate,8.60,17.30,43.00,,12.80,No Different than U.S. National Rate,8.90,18.30,48.00,,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,24.20,No Different than U.S. National Rate,19.60,29.50,45.00,,17.40,No Different than U.S. National Rate,13.80,22.00,53.00,
520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,,,WAUSAU,WI,54401.00,MARATHON,7158472121.00,16.20,No Different than U.S. National Rate,13.20,19.60,269.00,,12.00,No Different than U.S. National Rate,10.00,14.40,562.00,,13.90,No Different than U.S. National Rate,11.50,16.80,370.00,,16.70,No Different than U.S. National Rate,13.90,20.20,301.00,,23.50,No Different than U.S. National Rate,20.80,26.40,686.00,,18.80,No Different than U.S. National Rate,15.90,22.10,372.00,
